LakeID,LakeName,IIIa,IIIa.,IIIb,IIIb.,IIIc,IIIc.,IIa,IIa.,IIb,IIb.,IIc,IIc.,Ia,Ib,Ic,IR6,IR6.Num,IR6.den,MBT5ME,Lat,Long,Sample Depth,Lake area,MAT,AutumT,WinterT,SpringT,SummerT,Soi_pH,WT,Surface WT,Wsalinity,WpH
871,Shrimp,87906.77422,3335.293244,100295.4834,9577.670547,98127.62302,0,125813.9547,0,33089.83878,98149.54928,40582.51588,0,0,35309.43263,5132.738959,0.17,111062.51,637320.87,0.123361264,51.59,-108.45,3,0.45,2.2,3.43,-14.27,2.63,16.97,6.71,22.56,22.6,0.41,9.05
872,Katepwa,231213.0554,15301.25859,245290.944,28924.54387,131595.699,3079.864603,183983.0622,3051.807681,98274.97275,129667.7472,107792.6995,6731.949,5195.58567,77023.68551,12442.11491,0.15,186757.17,1279568.99,0.132222457,50.7,-103.64,22.4,17.01,2.2,3.9,-14.97,2.43,17.43,7.22,15.68,22.55,0.79,8.29
873,Sink,10443.2245,0,22032.10894,0,26747.16614,0,24192.03068,0,6788.723488,40685.29414,9143.052025,0,0,6410.927532,0,0.28,40685.29,146442.53,0.112515923,52.44,-109.19,2.8,0.14,1.7,3.13,-14.77,2.17,16.33,6.61,21.1,21.1,2.83,8.66
874,White Heron,144104.2508,7275.666376,428866.0757,7290.905661,158628.9168,0,336707.6055,0,60962.34909,101381.13,38865.21619,0,0,45016.30828,0,0.09,115947.7,1329098.42,0.071950605,51.89,-109.05,0.8,4.86,2,3.33,-14.53,2.37,16.67,6.25,24.25,24.25,1.89,8.94
875,Gouverneur,200531.6364,9523.830681,226522.6789,16864.88812,183379.2742,0,224323.7525,0,78081.49039,131157.1424,89423.31532,5175.586706,4857.075093,86827.97542,13457.70766,0.13,162721.45,1270126.35,0.150741667,49.77,-107.64,7.2,1.71,4,4.83,-10.67,4.17,17.8,6.57,19.8,20.7,1.38,8.73
876,Kenosee,168048.9087,13854.84089,662465.337,53361.02021,202697.2099,3902.463067,819989.6427,6731.060765,127078.6561,646308.107,227313.1612,10017.9325,12234.38729,154881.0586,33334.36625,0.23,734175.42,3142218.15,0.129919235,49.82,-102.3,7.4,8.31,1.6,3.13,-15,1.9,16.5,5.88,19.14,19.2,1.32,8.79
877,Barber,85059.20533,254321.2803,6038.810508,16535.98595,112817.2589,0,233229.5152,0,65265.18856,82238.46986,96862.31421,0,6204.832764,79591.22587,11816.85339,0.34,353095.74,1049980.94,0.168871958,51.36,-107.67,1.6,9.93,2.8,4.07,-13.9,3.3,17.53,6.93,20.43,20.43,1.26,8.57
878,Humbolt,182357.044,22133.45037,644765.8444,69219.94573,261833.868,4315.285842,652411.1128,8812.195899,262113.2871,594735.0965,295932.7439,25608.33576,16829.28608,333071.1112,82313.38358,0.21,724824.31,3456451.99,0.23682584,52.15,-105.12,6.3,4.93,1.3,3.17,-16.33,1.6,16.9,7.23,21.02,21.11,0.84,9.13
879,Porter ,5341.772938,25571.03998,0,0,9760.481193,0,20483.08008,0,9692.931943,5394.825554,11671.41368,0,0,9777.660806,0,0.32,30965.87,97693.21,0.171637701,52.19,-106.28,4,2.5,1.9,3.2,-15.17,2.37,17.13,6.62,19.16,19.2,0,8.48
880,Elkwater,773111.6248,46976.71641,1202248.535,61926.97457,556735.4815,5382.401089,751292.4443,5384.688133,228181.0789,369263.7199,279663.7687,14785.72618,8170.781153,172717.7093,21371.99077,0.11,503720.23,4497213.64,0.090516729,49.66,-110.29,7.9,2.19,2.4,3.27,-11,2.03,15.37,6.2,18.74,18.7,0.18,8.65
