Lake ID,Lake Name,IIIa,IIIa.,IIIb,IIIb.,IIIc,IIIc.,IIa,IIa.,IIb,IIb.,IIc,IIc.,Ia,Ib,Ic,Lat,Long,Sample Depth,Lake area,MAT,AutumT,WinterT,SpringT,SummerT,Soi_pH,WT,Surface WT,Wsalinity,WpH
924,Cutbank,27.8,60.6,2.3,3.9,0.2,0.0,36.7,67.2,16.8,17.1,1.0,1.3,50.9,21.2,2.8,50.54,-107,2.4,2.36,3.4,4.43,-12.03,3.5,17.6,6.6,20.43,20.9,2.41,9.13
925,WhiteBear,7.2,40.1,1.5,4.2,0.0,0.7,10.3,45.3,5.6,10.4,0.4,0.6,39.0,4.9,10.5,49.77,-102.28,8.5,8.57,1.7,3.2,-15.07,1.9,16.6,5.82,19.18,19.2,2.03,8.67
926,Reflex,0.4,4.4,0.0,0.5,0.0,0.0,8.0,4.7,0.5,0.5,0.0,0.0,10.1,0.4,0.0,52.66,-110.01,2.8,5.52,2.1,3.4,-14.07,2.67,16.53,6.3,22.4,22.4,102.22,9.4
928,Lac Pelletier,185.7,338.6,13.5,42.8,3.7,8.0,94.7,184.0,55.4,110.8,3.9,6.8,117.9,49.4,7.7,49.99,-107.94,8.8,3.02,3.5,4.47,-10.9,3.57,17.03,6.64,20.95,21.67,0.41,9.46
929,Richmond,7.5,54.6,1.5,2.9,0.0,0.0,51.6,34.8,6.9,9.4,0.5,0.8,61.9,8.0,2.4,52,-108.02,1.8,3.18,1.7,2.97,-15.27,2.33,16.57,6.77,18.06,18.06,10.02,8.62
930,Dewey,3.9,25.1,1.6,1.3,0.0,0.0,23.4,15.7,2.7,2.6,0.0,0.3,27.8,3.1,0.6,50.58,-107.07,2.3,0.53,3.2,4.3,-12.3,3.27,17.33,6.8,18.8,19.03,8.54,8.4
931,Round,242.6,213.9,20.5,27.3,3.8,4.3,219.0,190.4,136.9,118.2,10.8,9.9,146.6,99.7,20.4,50.54,-102.4,10.4,11.57,2.2,3.77,-15.03,2.67,17.5,7.26,21.53,22.6,0.83,8.82
933,Pasqua,11.3,11.7,0.6,1.0,0.1,0.1,12.2,14.0,5.1,5.0,0.3,0.3,9.8,4.9,0.8,50.78,-103.95,12.5,18.69,2.3,3.9,-14.87,2.57,17.53,7.21,21.13,22.3,0.77,8.78
934,Lenore SB,21.4,69.3,2.9,6.4,0.5,0.8,32.6,78.0,27.4,24.7,2.3,1.8,69.6,27.6,10.5,52.44,-105.02,9.1,0,1,2.77,-16.63,1.3,16.67,7.06,20.95,21.54,2.21,9.38
935,L. Manitou,0.9,1.7,0.0,0.0,0.0,0.0,1.1,2.5,0.8,0.9,0.0,0.0,3.0,0.8,0.0,52.61,-109.6,3.8,6.73,2.2,3.83,-15.07,2.43,17.43,6.46,21.45,21.56,44.43,9.19
936,Adrian,85.9,267.7,4.7,16.9,0.8,1.8,152.9,343.4,30.4,92.8,1.1,6.4,204.7,61.9,5.5,49.69,-102.87,1.2,0.25,2.5,4.1,-14.33,2.83,17.53,6.76,19.83,19.8,0.79,9.13
937,Gull,26.1,48.8,1.9,3.9,0.3,0.4,26.9,45.0,14.7,16.5,0.8,0.8,24.7,15.1,2.3,50.11,-108.5,5,0.59,3.5,4.4,-10.9,3.57,16.97,6.95,20.08,20.1,2.04,8.96
938,Deadmoose,2.7,6.0,0.3,0.4,0.0,0.0,4.5,6.6,2.4,2.2,0.2,0.1,6.1,2.3,0.5,52.31,-105.17,15.1,10.7,1.2,3,-16.37,1.53,16.77,6.99,12.53,19.8,12.27,8.87
939,Success,0.6,2.7,0.0,0.0,0.0,0.0,0.6,3.1,0.5,0.5,0.0,0.0,3.8,0.4,0.0,50.49,-108.02,17.4,1.42,3.6,4.6,-11.5,3.73,17.53,6.64,11.21,22.25,34.97,8.62
